MOCK|S0666
MEZZOLARA|S05997
MODENA PIAZZA MANZONI|S05188
MOLINELLA|S05018
MUFFA|S05974
MILANO CENTRALE|S01700
MACCAGNO|S13653
MACCARESE|S08020
MACERATA|S07307
MACERATA FONTESCODELLA|S07313
MACHERIO SOVICO|S01500
MACHERIO-CANONICA|S01484
MACOMER|S12869
MADDALENE|S00607
MADDALONI INFERIORE|S09212
MADDALONI SUPERIORE|S09303
MADIGNANO|S01610
